Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance
0.675105,-1.95647,980.318,0.0216154,249.944,0.988029,0.184735,0.0246953,248.734,0.0175627,0.987712,0,15.8085,34.3655,224,0.00912932,0.976604,244.23
0.694791,-1.96345,987.246,0.02532,250.961,0.990054,0.161181,0.0196556,249.867,0.014739,0.99,0,15.8409,35.2067,223,-0.000859689,0.980227,246.031
0.716481,-1.96987,993.661,0.016862,251.856,0.991826,0.14433,0.0170301,250.975,0.0107575,0.992385,0,15.8692,35.7993,222,-0.0387068,0.983541,247.69
0.740118,-1.97592,999.71,0.0174134,252.725,0.993549,0.118964,0.0130243,251.456,0.00895582,0.993273,0,15.8968,36.4889,221,-0.0191579,0.987161,249.503
0.767011,-1.98079,1004.6,0.00946563,253.423,0.994928,0.100213,0.00992009,252.166,0.00592,0.995,0,15.9189,37.9144,218,0.00379063,0.989972,250.918
0.797378,-1.9851,1008.93,0.000726241,254.012,0.996091,0.0816221,0.00761933,252.98,0.0044106,0.996341,0,15.9375,39.0148,215,0.00376409,0.992231,252.055
0.832358,-1.98909,1012.95,-0.0245026,254.555,0.997162,0.0594891,0.00517076,253.349,0.00323089,0.997242,0,15.9546,39.6526,213,-3.69385e-05,0.994311,253.108
0.87513,-1.99232,1016.21,-0.0189227,254.99,0.998018,0.047966,0.00381567,253.566,0.002262,0.998053,0,15.9683,40.8248,202,-0.004524,0.996029,253.98
0.92521,-1.99487,1018.79,-0.00553105,255.326,0.998678,0.036061,0.00274494,254.085,0.00136826,0.998788,0,15.9788,40.7558,197,-0.0295244,0.997401,254.676
0.986273,-1.99677,1020.72,-0.00708484,255.573,0.999163,0.0256621,0.00185892,253.974,0.00103274,0.999065,0,15.9866,41.1103,193,0.0187457,0.998262,255.114
1.06344,-1.99838,1022.35,-0.0195709,255.787,0.999582,0.0153058,0.000997415,254.519,0.00046875,0.99957,0,15.9933,41.5939,191,0.0171234,0.9991,255.541
1.17117,-1.99943,1023.42,-0.0257794,255.925,0.999854,0.00637604,0.000364995,254.863,0,1,0,15.9977,42.0912,188,0.0116883,0.999698,255.846
1.35499,-1.99985,1023.85,-0.0261261,255.981,0.999963,0.00216846,0.000100022,254.472,0,1,0,15.9994,42.3766,184,-0.0102385,0.99991,255.954
1.71968,-2,1024,-0.0286169,256,1,0,0,255.084,0,1,0,16,42.4849,182,-0.0151033,1,256
