Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy
0.528017,-1.81254,3366.3,-0.0202574,902.938,0.938818,0.596377,0.214788,897.716,0.178385,0.93323,0,30.0422,25.6909,744,-0.0016881,0.880975,-0.776039,394.071
0.530649,-1.81714,3383.37,0.00114906,906.729,0.940798,0.603302,0.204392,900.991,0.168532,0.934775,0,30.1055,25.7442,741,-0.0045455,0.885177,-0.783459,398.963
0.533302,-1.82266,3403.84,-0.00802897,910.688,0.942866,0.568137,0.189608,905.771,0.157964,0.937795,0,30.1717,25.7431,740,-0.0158269,0.889178,-0.790558,403.908
0.536013,-1.82714,3420.47,0.000641827,914.112,0.944652,0.546999,0.175999,909.888,0.151169,0.94018,0,30.2289,25.7626,739,-0.0115494,0.892139,-0.795833,408.975
0.538785,-1.83194,3438.4,-0.00184399,917.735,0.946533,0.533232,0.165614,912.439,0.147913,0.941041,0,30.2891,25.9077,735,0.0161683,0.895743,-0.802275,414.169
0.541614,-1.83688,3456.9,-0.012789,921.167,0.948308,0.52919,0.160349,916.654,0.135575,0.943593,0,30.3459,26.052,734,0.00769364,0.899232,-0.808538,419.484
0.544486,-1.84203,3476.22,-0.00633558,924.806,0.950189,0.512562,0.151223,920.414,0.129681,0.945697,0,30.4061,26.1539,730,-0.000517665,0.902841,-0.81504,424.893
0.547409,-1.84622,3491.98,-0.00049261,927.935,0.951805,0.493392,0.142277,923.545,0.121636,0.947271,0,30.4578,26.3089,727,-0.0121057,0.90605,-0.820845,430.415
0.550395,-1.8514,3511.54,0.0128019,931.577,0.95368,0.480872,0.134329,927.182,0.114707,0.949322,0,30.5177,26.1297,725,0.00477448,0.909398,-0.826922,436.067
0.553441,-1.85457,3523.52,0.00163661,933.779,0.954812,0.470283,0.129255,930.214,0.110397,0.950874,0,30.554,26.3011,723,0.0123623,0.911752,-0.831209,441.848
0.556542,-1.85944,3541.99,0.00530779,937.246,0.956591,0.458848,0.121675,933.559,0.103354,0.952731,0,30.6109,26.3871,718,0.00322062,0.91509,-0.837307,447.746
0.5597,-1.86423,3560.25,-0.0223039,940.559,0.958281,0.466432,0.121157,936.747,0.0988156,0.954405,0,30.665,26.4423,716,0.00549786,0.91845,-0.843467,453.766
0.562884,-1.86801,3574.61,-0.000865447,942.874,0.959468,0.440783,0.11322,938.959,0.0944661,0.955271,0,30.703,26.4688,715,-0.00999177,0.920575,-0.847374,459.852
